Category_actor,Nominee_actor,Winner_actor,Year_actor,Rating_IMDB_actor,Rating_rtaudience_actor,Rating_rtcritic_actor,Oscarstat_totalnoms_actor,Nom_BAFTA_actor,Win_BAFTA_actor,Nom_GoldenGlobe_comedy-leadacting_actor,Win_GoldenGlobe_comedy-leadacting_actor,Nom_GoldenGlobe_drama-leadacting_actor,Win_GoldenGlobe_drama-leadacting_actor,Nom_GoldenGlobe_supportingacting_actor,Win_GoldenGlobe_supportingacting_actor,Oscarstat_previousnominations_acting_actor,Oscarstat_previouswins_acting_actor,Oscarstat_previousnominee_acting_actor,Oscarstat_previouswinner_acting_actor,Nom_Oscar_bestfilm_actor,Age_actor,Genre_action_actor,Genre_adventure_actor,Genre_biography_actor,Genre_crime_actor,Genre_comedy_actor,Genre_drama_actor,Genre_horror_actor,Genre_fantasy_actor,Genre_sci-fi_actor,Genre_mystery_actor,Genre_music_actor,Genre_romance_actor,Genre_history_actor,Genre_thriller_actor,Genre_war_actor,Genre_sport_actor,Genre_family_actor,Genre_filmnoir_actor,Genre_western_actor,Female_actor,Category_director,Nominee_director,Winner_director,Release_date_director,Rating_rtaudience_director,Rating_rtcritic_director,Win_GoldenGlobe_bestdirector_director,Win_BAFTA_director,Win_DGA_director,Nom_GoldenGlobe_bestdirector_director,Nom_BAFTA_director,Nom_DGA_director,Oscarstat_previouswins_bestdirector_director,Oscarstat_previousnominations_bestdirector_director,Release_Q1_director,Release_Q2_director,Release_Q3_director,Release_Q4_director,Category_film,Film_film,Winner_film,Nom_BAFTA_film,Win_BAFTA_film,Nom_GoldenGlobe_bestcomedy_film,Nom_GoldenGlobe_bestdrama_film,Win_GoldenGlobe_bestcomedy_film,Win_GoldenGlobe_bestdrama_film,Nowin_PGA_film,Win_PGA_film,Nonom_PGA_film,Nom_PGA_film,budget,genres,homepage,id,keywords,original_language,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,vote_average,vote_count
Actor,Jack Lemmon,0,1961,8.3,94,93,10,1,1,1,1,0,0,0,0,0,0,0,0,1,36,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Director,Billy Wilder,1,9/16/1960,94,93,0,0,1,1,0,1,0,0,0,0,1,0,Picture,The Apartment,1,1,1,1,0,1,0,0,0,0,0,3000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",empty,284,"[{""id"": 242, ""name"": ""new york""}, {""id"": 613, ""name"": ""new year's eve""}, {""id"": 725, ""name"": ""lovesickness""}, {""id"": 965, ""name"": ""age difference""}, {""id"": 1252, ""name"": ""suicide attempt""}, {""id"": 1438, ""name"": ""office""}, {""id"": 1439, ""name"": ""flat""}, {""id"": 1440, ""name"": ""spaghetti""}, {""id"": 1441, ""name"": ""christmas party""}, {""id"": 1442, ""name"": ""winter""}, {""id"": 1443, ""name"": ""clerk""}, {""id"": 1487, ""name"": ""tennis racket""}, {""id"": 9799, ""name"": ""romantic comedy""}, {""id"": 34094, ""name"": ""extramarital affair""}]",en,"Bud Baxter is a minor clerk in a huge New York insurance company, until he discovers a quick way to climb the corporate ladder. He lends out his apartment to the executives as a place to take their mistresses. Although he often has to deal with the aftermath of their visits, one night he's left with a major problem to solve.",22.889294,"[{""name"": ""United Artists"", ""id"": 60}, {""name"": ""The Mirisch Company"", ""id"": 11241}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",6/15/1960,25000000,125,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"Movie-wise, there has never been anything like it - laugh-wise, love-wise, or otherwise-wise!",8.1,483
Actress,Shirley MacLaine,0,1961,8.3,94,93,10,1,1,1,1,0,0,0,0,0,0,0,0,1,27,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Director,Billy Wilder,1,9/16/1960,94,93,0,0,1,1,0,1,0,0,0,0,1,0,Picture,The Apartment,1,1,1,1,0,1,0,0,0,0,0,3000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",empty,284,"[{""id"": 242, ""name"": ""new york""}, {""id"": 613, ""name"": ""new year's eve""}, {""id"": 725, ""name"": ""lovesickness""}, {""id"": 965, ""name"": ""age difference""}, {""id"": 1252, ""name"": ""suicide attempt""}, {""id"": 1438, ""name"": ""office""}, {""id"": 1439, ""name"": ""flat""}, {""id"": 1440, ""name"": ""spaghetti""}, {""id"": 1441, ""name"": ""christmas party""}, {""id"": 1442, ""name"": ""winter""}, {""id"": 1443, ""name"": ""clerk""}, {""id"": 1487, ""name"": ""tennis racket""}, {""id"": 9799, ""name"": ""romantic comedy""}, {""id"": 34094, ""name"": ""extramarital affair""}]",en,"Bud Baxter is a minor clerk in a huge New York insurance company, until he discovers a quick way to climb the corporate ladder. He lends out his apartment to the executives as a place to take their mistresses. Although he often has to deal with the aftermath of their visits, one night he's left with a major problem to solve.",22.889294,"[{""name"": ""United Artists"", ""id"": 60}, {""name"": ""The Mirisch Company"", ""id"": 11241}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",6/15/1960,25000000,125,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"Movie-wise, there has never been anything like it - laugh-wise, love-wise, or otherwise-wise!",8.1,483
Supporting Actor,Jack Kruschen,0,1961,8.3,94,93,10,0,0,0,0,0,0,0,0,0,0,0,0,1,39,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Director,Billy Wilder,1,9/16/1960,94,93,0,0,1,1,0,1,0,0,0,0,1,0,Picture,The Apartment,1,1,1,1,0,1,0,0,0,0,0,3000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",empty,284,"[{""id"": 242, ""name"": ""new york""}, {""id"": 613, ""name"": ""new year's eve""}, {""id"": 725, ""name"": ""lovesickness""}, {""id"": 965, ""name"": ""age difference""}, {""id"": 1252, ""name"": ""suicide attempt""}, {""id"": 1438, ""name"": ""office""}, {""id"": 1439, ""name"": ""flat""}, {""id"": 1440, ""name"": ""spaghetti""}, {""id"": 1441, ""name"": ""christmas party""}, {""id"": 1442, ""name"": ""winter""}, {""id"": 1443, ""name"": ""clerk""}, {""id"": 1487, ""name"": ""tennis racket""}, {""id"": 9799, ""name"": ""romantic comedy""}, {""id"": 34094, ""name"": ""extramarital affair""}]",en,"Bud Baxter is a minor clerk in a huge New York insurance company, until he discovers a quick way to climb the corporate ladder. He lends out his apartment to the executives as a place to take their mistresses. Although he often has to deal with the aftermath of their visits, one night he's left with a major problem to solve.",22.889294,"[{""name"": ""United Artists"", ""id"": 60}, {""name"": ""The Mirisch Company"", ""id"": 11241}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",6/15/1960,25000000,125,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"Movie-wise, there has never been anything like it - laugh-wise, love-wise, or otherwise-wise!",8.1,483
Actor,Maximilian Schell,1,1962,8.3,93,90,11,0,0,0,0,1,1,0,0,0,0,0,0,1,32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Director,Stanley Kramer,0,12/18/1961,93,90,1,0,0,1,0,1,0,0,0,0,0,1,Picture,Judgment at Nuremberg,0,1,0,0,1,0,0,0,0,0,0,3000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]",empty,821,"[{""id"": 934, ""name"": ""judge""}, {""id"": 1631, ""name"": ""concentration camp""}, {""id"": 1956, ""name"": ""world war ii""}, {""id"": 2652, ""name"": ""nazis""}, {""id"": 3012, ""name"": ""court case""}, {""id"": 3061, ""name"": ""national socialism""}, {""id"": 3068, ""name"": ""national socialist party""}, {""id"": 4172, ""name"": ""nuremberg trials""}, {""id"": 6145, ""name"": ""right and justice""}, {""id"": 11038, ""name"": ""trial""}]",en,"In 1947, four German judges who served on the bench during the Nazi regime face a military tribunal to answer charges of crimes against humanity. Chief Justice Haywood hears evidence and testimony not only from lead defendant Ernst Janning and his defense attorney Hans Rolfe, but also from the widow of a Nazi general, an idealistic U.S. Army captain and reluctant witness Irene Wallner.",13.338539,"[{""name"": ""United Artists"", ""id"": 60}, {""name"": ""Roxlom Films"", ""id"": 526}]","[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",12/1/1961,10000000,186,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The event the world will never forget,7.6,155
Actor,Spencer Tracy,0,1962,8.3,93,90,11,0,0,0,0,0,0,0,0,1,0,1,0,1,62,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Director,Stanley Kramer,0,12/18/1961,93,90,1,0,0,1,0,1,0,0,0,0,0,1,Picture,Judgment at Nuremberg,0,1,0,0,1,0,0,0,0,0,0,3000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]",empty,821,"[{""id"": 934, ""name"": ""judge""}, {""id"": 1631, ""name"": ""concentration camp""}, {""id"": 1956, ""name"": ""world war ii""}, {""id"": 2652, ""name"": ""nazis""}, {""id"": 3012, ""name"": ""court case""}, {""id"": 3061, ""name"": ""national socialism""}, {""id"": 3068, ""name"": ""national socialist party""}, {""id"": 4172, ""name"": ""nuremberg trials""}, {""id"": 6145, ""name"": ""right and justice""}, {""id"": 11038, ""name"": ""trial""}]",en,"In 1947, four German judges who served on the bench during the Nazi regime face a military tribunal to answer charges of crimes against humanity. Chief Justice Haywood hears evidence and testimony not only from lead defendant Ernst Janning and his defense attorney Hans Rolfe, but also from the widow of a Nazi general, an idealistic U.S. Army captain and reluctant witness Irene Wallner.",13.338539,"[{""name"": ""United Artists"", ""id"": 60}, {""name"": ""Roxlom Films"", ""id"": 526}]","[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",12/1/1961,10000000,186,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The event the world will never forget,7.6,155
Supporting Actor,Montgomery Clift,0,1962,8.3,93,90,11,1,0,0,0,0,0,1,0,0,0,0,0,1,42,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Director,Stanley Kramer,0,12/18/1961,93,90,1,0,0,1,0,1,0,0,0,0,0,1,Picture,Judgment at Nuremberg,0,1,0,0,1,0,0,0,0,0,0,3000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]",empty,821,"[{""id"": 934, ""name"": ""judge""}, {""id"": 1631, ""name"": ""concentration camp""}, {""id"": 1956, ""name"": ""world war ii""}, {""id"": 2652, ""name"": ""nazis""}, {""id"": 3012, ""name"": ""court case""}, {""id"": 3061, ""name"": ""national socialism""}, {""id"": 3068, ""name"": ""national socialist party""}, {""id"": 4172, ""name"": ""nuremberg trials""}, {""id"": 6145, ""name"": ""right and justice""}, {""id"": 11038, ""name"": ""trial""}]",en,"In 1947, four German judges who served on the bench during the Nazi regime face a military tribunal to answer charges of crimes against humanity. Chief Justice Haywood hears evidence and testimony not only from lead defendant Ernst Janning and his defense attorney Hans Rolfe, but also from the widow of a Nazi general, an idealistic U.S. Army captain and reluctant witness Irene Wallner.",13.338539,"[{""name"": ""United Artists"", ""id"": 60}, {""name"": ""Roxlom Films"", ""id"": 526}]","[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",12/1/1961,10000000,186,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The event the world will never forget,7.6,155
Supporting Actress,Judy Garland,0,1962,8.3,93,90,11,0,0,0,0,0,0,1,0,0,0,0,0,1,40,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Director,Stanley Kramer,0,12/18/1961,93,90,1,0,0,1,0,1,0,0,0,0,0,1,Picture,Judgment at Nuremberg,0,1,0,0,1,0,0,0,0,0,0,3000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]",empty,821,"[{""id"": 934, ""name"": ""judge""}, {""id"": 1631, ""name"": ""concentration camp""}, {""id"": 1956, ""name"": ""world war ii""}, {""id"": 2652, ""name"": ""nazis""}, {""id"": 3012, ""name"": ""court case""}, {""id"": 3061, ""name"": ""national socialism""}, {""id"": 3068, ""name"": ""national socialist party""}, {""id"": 4172, ""name"": ""nuremberg trials""}, {""id"": 6145, ""name"": ""right and justice""}, {""id"": 11038, ""name"": ""trial""}]",en,"In 1947, four German judges who served on the bench during the Nazi regime face a military tribunal to answer charges of crimes against humanity. Chief Justice Haywood hears evidence and testimony not only from lead defendant Ernst Janning and his defense attorney Hans Rolfe, but also from the widow of a Nazi general, an idealistic U.S. Army captain and reluctant witness Irene Wallner.",13.338539,"[{""name"": ""United Artists"", ""id"": 60}, {""name"": ""Roxlom Films"", ""id"": 526}]","[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",12/1/1961,10000000,186,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The event the world will never forget,7.6,155
Actor,Paul Newman,0,1962,8,93,98,9,1,1,0,0,1,0,0,0,0,0,0,0,1,37,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Director,Robert Rossen,0,10/27/1961,93,98,0,0,0,0,0,0,0,0,0,0,0,1,Picture,The Hustler,0,1,1,0,0,0,0,0,0,0,0,2000000,"[{""id"": 18, ""name"": ""Drama""}]",empty,990,"[{""id"": 236, ""name"": ""suicide""}, {""id"": 395, ""name"": ""gambling""}, {""id"": 554, ""name"": ""manager""}, {""id"": 567, ""name"": ""alcohol""}, {""id"": 818, ""name"": ""based on novel""}, {""id"": 1010, ""name"": ""bar""}, {""id"": 1356, ""name"": ""billard""}, {""id"": 2348, ""name"": ""hustler""}, {""id"": 6075, ""name"": ""sport""}, {""id"": 8508, ""name"": ""party""}, {""id"": 10499, ""name"": ""pool""}, {""id"": 10594, ""name"": ""money""}, {""id"": 18249, ""name"": ""game""}, {""id"": 40879, ""name"": ""drunk""}, {""id"": 199050, ""name"": ""player""}]",en,Fast Eddie Felson is a small-time pool hustler with a lot of talent but a self-destructive attitude. His bravado causes him to challenge the legendary Minnesota Fats to a high-stakes match.,17.639478,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Rossen Films"", ""id"": 22820}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",9/25/1961,7600000,134,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,They called him Fast Eddie. He was a winner. He was a loser. He was a hustler.,7.6,240
Actress,Piper Laurie,0,1962,8,93,98,9,1,0,0,0,0,0,0,0,0,0,0,0,1,30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Director,Robert Rossen,0,10/27/1961,93,98,0,0,0,0,0,0,0,0,0,0,0,1,Picture,The Hustler,0,1,1,0,0,0,0,0,0,0,0,2000000,"[{""id"": 18, ""name"": ""Drama""}]",empty,990,"[{""id"": 236, ""name"": ""suicide""}, {""id"": 395, ""name"": ""gambling""}, {""id"": 554, ""name"": ""manager""}, {""id"": 567, ""name"": ""alcohol""}, {""id"": 818, ""name"": ""based on novel""}, {""id"": 1010, ""name"": ""bar""}, {""id"": 1356, ""name"": ""billard""}, {""id"": 2348, ""name"": ""hustler""}, {""id"": 6075, ""name"": ""sport""}, {""id"": 8508, ""name"": ""party""}, {""id"": 10499, ""name"": ""pool""}, {""id"": 10594, ""name"": ""money""}, {""id"": 18249, ""name"": ""game""}, {""id"": 40879, ""name"": ""drunk""}, {""id"": 199050, ""name"": ""player""}]",en,Fast Eddie Felson is a small-time pool hustler with a lot of talent but a self-destructive attitude. His bravado causes him to challenge the legendary Minnesota Fats to a high-stakes match.,17.639478,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Rossen Films"", ""id"": 22820}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",9/25/1961,7600000,134,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,They called him Fast Eddie. He was a winner. He was a loser. He was a hustler.,7.6,240
Supporting Actor,Jackie Gleason,0,1962,8,93,98,9,0,0,0,0,0,0,1,0,0,0,0,0,1,46,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Director,Robert Rossen,0,10/27/1961,93,98,0,0,0,0,0,0,0,0,0,0,0,1,Picture,The Hustler,0,1,1,0,0,0,0,0,0,0,0,2000000,"[{""id"": 18, ""name"": ""Drama""}]",empty,990,"[{""id"": 236, ""name"": ""suicide""}, {""id"": 395, ""name"": ""gambling""}, {""id"": 554, ""name"": ""manager""}, {""id"": 567, ""name"": ""alcohol""}, {""id"": 818, ""name"": ""based on novel""}, {""id"": 1010, ""name"": ""bar""}, {""id"": 1356, ""name"": ""billard""}, {""id"": 2348, ""name"": ""hustler""}, {""id"": 6075, ""name"": ""sport""}, {""id"": 8508, ""name"": ""party""}, {""id"": 10499, ""name"": ""pool""}, {""id"": 10594, ""name"": ""money""}, {""id"": 18249, ""name"": ""game""}, {""id"": 40879, ""name"": ""drunk""}, {""id"": 199050, ""name"": ""player""}]",en,Fast Eddie Felson is a small-time pool hustler with a lot of talent but a self-destructive attitude. His bravado causes him to challenge the legendary Minnesota Fats to a high-stakes match.,17.639478,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Rossen Films"", ""id"": 22820}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",9/25/1961,7600000,134,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,They called him Fast Eddie. He was a winner. He was a loser. He was a hustler.,7.6,240
